"Date","StateOfOccurrence","Location","Model","Registration","Operator","StateOfOperator","StateOfRegistry","FlightPhase","Class","Fatalities","Over2250","Over5700","ScheduledCommercial","InjuryLevel","TypeDesignator","Helicopter","Airplane","Engines","EngineType","Official","OccCats","Risk","Year"
"""2014-07-17T00:00:00.000Z""","GAB","Libreville","BOEING 737 300","A6-ESR","United Arab Emirates ",,"ARE","Taxi","Accident",1,true,true,"","Fatal","B37M",false,true,2,"Jet","","[""RI""]","RS",2014
"""2014-07-17T00:00:00.000Z""","KOR","7 km north of Kwangju","AEROSPATIALE AS365 N3","HL-9461","Korea, South ","","KOR","Take-off","Accident",5,true,false,"","Fatal","AS65",true,false,2,"Turboprop","","[""UNK""]","UNK",2014
"""2014-07-17T00:00:00.000Z""","BGR","Balchik airfield (LBWB)","","LZ-VIA","Bulgaria Other","","BGR","","Accident",0,true,false,"","Serious","DUB2",false,true,1,"Piston","","[""LOC-I""]","LOC-I",2014
"""2014-07-17T00:00:00.000Z""","UKR","Grabovo","BOEING 777 200","9M-MRD","Malaysia Malaysian Airlines System","MYS","MYS","En route","Accident",298,true,true,true,"Fatal","B37M",false,true,2,"Jet","","[""SEC""]","OTH",2014
"""2014-07-17T00:00:00.000Z""","HRV","10 km west of Pula Airport","Not mapped","N-669LG"," ","","USA","En route","Accident",0,true,false,"","Minor","B74D",false,true,4,"Jet","","[""FUEL""]","OTH",2014
"""2014-07-19T00:00:00.000Z""","","Ybbs","A320","HA-LWE","Wizz",,"HUN","","Accident","",true,true,"","","A320",false,true,2,"Jet","","[]","",2014
"""2014-07-19T00:00:00.000Z""","","Cairo","B738","SU-GDC","Egypt",,"EGY","","Accident","",true,true,"","","B738",false,true,2,"Jet","","[]","",2014
"""2014-07-20T00:00:00.000Z""","BGD","Cox's Bazar","ATR ATR72 200","S2-AFN","Bangladesh ","BGD","BGD","Landing","Accident","",true,true,true,"Unknown","BE20",false,true,2,"Turboprop","","[""SCF-NP""]","SCF",2014
"""2014-07-20T00:00:00.000Z""","","Basel","A319","HB-JZQ","Easyjet",,"CHE","","Accident","",true,true,"","","A319",false,true,2,"Jet","","[]","",2014
"""2014-07-23T00:00:00.000Z""","TWN","Magong","ATR ATR72 200","B-22810","Taiwan ","CHN","CHN","Landing","Accident",48,true,true,true,"Fatal","BE20",false,true,2,"Turboprop","","[""CFIT"",""WSTRW""]","CFIT",2014
